Chinese,Trad.,Pinyin,English Definition
第,,dì,"(prefix indicating ordinal number, e.g. first, number two etc); order; (old) rank in the imperial examinations; mansion; (literary) but; just"
一,,yī,"one; 1; single; a (article); as soon as; entire; whole; all; throughout; ""one"" radical in Chinese characters (Kangxi radical 1); also pr. [yao1] for greater clarity when spelling out numbers digit by digit"
讲,講,jiǎng,to speak; to explain; to negotiate; to emphasise; to be particular about; as far as sth is concerned; speech; lecture
真正,,zhēn zhèng,genuine; real; true; genuinely
往,,wǎng,to go (in a direction); to; towards; (of a train) bound for; past; previous
高,,gāo,surname Gao; high; tall; above average; loud; your (honorific)
层次,層次,céng cì,layer; level; gradation; arrangement of ideas; (a person's) standing
上,,shàng,on top; upon; above; upper; previous; first (of multiple parts); to climb; to get onto; to go up; to attend (class or university)
带,帶,dài,band; belt; girdle; ribbon; tire; area; zone; region; Classifiers: 条 ; to wear; to carry; to take along; to bear (i.e. to have); to lead; to bring; to look after; to raise
人,,rén,man; person; people; Classifiers: 个
我,,wǒ,I; me; my
在,,zài,(located) at; (to be) in; to exist; in the middle of doing sth; (indicating an action in progress)
整个,整個,zhěng gè,whole; entire; total
传,傳,chuán,to pass on; to spread; to transmit; to infect; to transfer; to circulate; to conduct (electricity)
法,灋,fǎ,France; French; abbr. for 法国 [Fa3 guo2]; Taiwan pr. [Fa4]; law; method; way; Buddhist teaching; Legalist; old variant of 法 ; law
功过,功過,gōng guò,merits and demerits; contributions and errors
程中,,chéng zhōng,
本着,本著,běn zhe,based on...; in conformance with..; taking as one's main principle
对,對,duì,right; correct; couple; pair; towards; at; for; to face; opposite; to treat (sb a certain way); to match together; to adjust; to fit; to suit; to answer; to reply; classifier: couple
社会,社會,shè huì,society; Classifiers: 个
负责,負責,fù zé,to be in charge of; to take responsibility for; to be to blame; conscientious
学员,學員,xué yuán,student; member of an institution of learning; officer cadet
收到,,shōu dào,to receive
的,,de,of; ~'s (possessive particle); (used after an attribute); (used to form a nominal expression); (used at the end of a declarative sentence for emphasis)
效果,,xiào guǒ,result; effect; quality; Classifiers: 个
是,,shì,is; are; am; yes; to be
好,,hǎo,good; well; proper; good to; easy to; very; so; (suffix indicating completion or readiness); (of two people) close; on intimate terms
影响,影響,yǐng xiǎng,influence; effect; to influence; to affect (usually adversely); to disturb; Classifiers: 股
也,,yě,surname Ye; also; too; (in Classical Chinese) final particle implying affirmation
比较,比較,bǐ jiào,to compare; to contrast; comparatively; relatively; quite; comparison
前,,qián,front; forward; ahead; first; top (followed by a number); future; ago; before; BC (e.g. 前 293年 ); former; formerly
些,,xiē,some; few; several; measure word indicating a small amount or small number (greater than 1)
年,,nián,surname Nian; year; Classifiers: 个
有,,yǒu,to have; there is; there are; to exist; to be
许多,許多,xǔ duō,many; a lot of; much
气功,氣功,qì gōng,"qigong, a system of deep breathing exercises"
师,師,shī,surname Shi; teacher; master; expert; model; army division; (old) troops; to dispatch troops
功,,gōng,meritorious deed or service; achievement; result; service; accomplishment; work (physics)
他们,他們,tā men,they
所,,suǒ,"actually; place; classifier for houses, small buildings, institutions etc; that which; particle introducing a relative clause or passive; Classifiers: 个"
东西,東西,dōng xi,thing; stuff; person; Classifiers: 个
都,,dōu,all; both; entirely; (used for emphasis) even; already; (not) at all
属于,屬於,shǔ yú,to be classified as; to belong to; to be part of
祛,,qū,sacrifice to drive away calamity; to dispel; to drive away; to remove
病,,bìng,illness; Classifiers: 场 ; disease; to fall ill; defect
健身,,jiàn shēn,to exercise; to keep fit; to work out; physical exercise
那,,nà,"that; those; then (in that case); commonly pr. [nei4] before a classifier, esp. in Beijing"
当然,當然,dāng rán,only natural; as it should be; certainly; of course; without doubt
不是,,bú shi,fault; blame
说,說,shuō,to speak; to say; to explain; to scold; to tell off; a theory (usually in compounds such as 日心说 heliocentric theory)
别人,別人,bié ren,other people; others; other person
不好,,bù hǎo,no good
只是,,zhǐ shì,merely; simply; only; but
没有,沒有,méi yǒu,haven't; hasn't; doesn't exist; to not have; to not be
全国,全國,quán guó,whole nation; nationwide; countrywide; national
形势,形勢,xíng shì,circumstances; situation; terrain; Classifiers: 个
知道,,zhī dào,to know; to become aware of; also pr. [zhi1 dao5]
国内外,國內外,guó nèi wài,domestic and international; at home and abroad
上传,上傳,shàng chuán,to upload
目前,,mù qián,at the present time; currently
只有,,zhǐ yǒu,only
个人,個人,gè rén,individual; personal; oneself
做,,zuò,to do; to make; to produce; to write; to compose; to act as; to engage in; to hold (a party); to be; to become; to function (in some capacity); to serve as; to be used for; to form (a bond or relationship); to pretend; to feign; to act a part; to put on appearance
为什么,為什麼,wèi shén me,why?; for what reason?
没,沒,méi,(negative prefix for verbs); have not; not
有人,,yǒu rén,someone; people; anyone; there is someone there; occupied (as in restroom)
呢,,ne,"particle indicating that a previously asked question is to be applied to the preceding word (""What about ...?"", ""And ...?""); particle for inquiring about location (""Where is ...?""); particle signaling a pause, to emphasize the preceding words and allow the listener time to take them on board (""ok?"", ""are you with me?""); (at the end of a declarative sentence) particle indicating continuation of a state or action; particle indicating strong affirmation"
因为,因為,yīn wèi,because; owing to; on account of
它,,tā,it
牵扯,牽扯,qiān chě,to involve; to implicate
很大,,hěn dà,tremendous
问题,問題,wèn tí,question; problem; issue; topic; Classifiers: 个
历史,歷史,lì shǐ,history; Classifiers: 门
渊源,淵源,yuān yuán,origin; source; relationship
很,,hěn,(adverb of degree); quite; very; awfully
深,,shēn,deep; depth; deeply; (of a color) dark; deep; rich
面,麵,miàn,"face; side; surface; aspect; top; classifier for flat surfaces such as drums, mirrors, flags etc; flour; noodles; (of food) soft (not crunchy); (slang) (of a person) ineffectual; spineless"
广,廣,guǎng,surname Guang; wide; numerous; to spread
涉及,,shè jí,to involve; to touch upon (a topic)
尖锐,尖銳,jiān ruì,sharp; intense; penetrating; pointed; acute (illness)
一般,,yī bān,same; ordinary; so-so; common; general; generally; in general
能,,néng,can; to be able to; might possibly; ability; (physics) energy; can; to be able to; might possibly; ability; (physics) energy
了,,le,(modal particle intensifying preceding clause); (completed action marker)
到,,dào,to (a place); until (a time); up to; to go; to arrive; (verb complement denoting completion or result of an action)
要,,yào,important; vital; to want; to ask for; will; going to (as future auxiliary); may; must; (used in a comparison) must be; probably; if
动,動,dòng,"(of sth) to move; to set in movement; to displace; to touch; to make use of; to stir (emotions); to alter; abbr. for 动词 , verb"
派,,pài,clique; school; group; faction; to dispatch; to send; to assign; to appoint; pi (Greek letter Ππ); the circular ratio pi = 3.1415926; (loanword) pie
特别,特別,tè bié,especially; special; particular; unusual
我们,我們,wǒ men,we; us; ourselves; our
练功,練功,liàn gōng,to practice work skill
他,,tā,he or him; (used for either sex when the sex is unknown or unimportant); (used before sb's name for emphasis); (used as a meaningless mock object); other; another
今天,,jīn tiān,today; at the present; now
学,學,xué,to learn; to study; to imitate; science; -ology
这个,這個,zhè ge,this; this one
明天,,míng tiān,tomorrow
那个,那個,nà ge,that one; also pr. [nei4 ge5]
把,,bǎ,to hold; to contain; to grasp; to take hold of; handle; particle marking the following noun as a direct object; classifier for objects with handle; classifier for small objects: handful
自己,,zì jǐ,oneself; one's own
身体,身體,shēn tǐ,the body; one's health; Classifiers: 具 ; in person
搞,,gǎo,to do; to make; to go in for; to set up; to get hold of; to take care of
乱七八糟,亂七八糟,luàn qī bā zāo,everything in disorder (idiom); in a hideous mess; at sixes and sevens
注定,註定,zhù dìng,to foreordain; to be bound to; to be destined to; to be doomed to; inevitably
就,,jiù,at once; right away; only; just (emphasis); as early as; already; as soon as; then; in that case; as many as; even if; to approach; to move towards; to undertake; to engage in; to suffer; subjected to; to accomplish; to take advantage of; to go with (of foods); with regard to; concerning
修,脩,xiū,surname Xiu; to decorate; to embellish; to repair; to build; to write; to cultivate; to study; to take (a class); dried meat; private teacher's remuneration; withered; variant of 修
不,,bù,(negative prefix); not; no
